query_id,relevance_score,document_no,score
41,2,11,4.49074678
41,1,7,4.4414508
41,1,4,4.00182721
41,2,2,3.86341642
41,1,10,3.33801152
41,1,8,3.02251726
41,1,6,2.98286468
41,2,1,2.49634085
41,1,3,2.17850537
41,2,9,1.91174632
42,2,2,3.39507099
42,3,11,2.98064992
42,1,16,2.92096702
42,2,18,2.71673139
42,1,17,2.64590285
42,1,22,2.45742701
42,1,12,2.36291427
42,1,8,2.23629538
42,2,10,2.23193493
42,2,5,2.21116417
43,3,6,5.11393049
43,2,8,4.76696425
43,3,11,4.75842945
43,3,5,4.33308492
43,3,2,4.22940711
43,3,4,4.0222377
43,2,10,3.97207341
43,3,7,3.45552895
43,2,1,3.05577675
43,1,9,3.05577675
44,1,5,4.31242954
44,1,2,2.90733316
44,1,8,2.44391672
44,1,4,2.40021484
44,1,11,2.04914719
44,2,9,1.86369075
44,1,7,1.72111681
44,1,6,1.61460643
44,1,10,1.4752658
44,1,3,1.4394117
45,2,8,4.69216065
45,2,1,4.56401199
45,2,7,4.33740841
45,2,9,3.91597192
45,2,6,3.50410549
45,1,3,3.3056288
45,1,11,2.99140921
45,2,2,2.97556945
45,1,5,2.85030379
45,2,4,2.81111688
47,2,9,5.8543031
47,2,2,5.70804456
47,2,6,5.11663177
47,2,8,4.76382634
47,1,10,4.53771116
47,2,4,4.36538269
47,2,1,3.89282579
47,2,12,3.73844153
47,1,3,3.56359461
47,1,5,3.50091324
50,1,1,2.97444792
50,1,7,2.9079317
50,1,10,2.86875704
50,1,5,2.53528239
50,1,6,2.46683203
50,1,2,2.32212899
50,1,3,1.92852118
50,1,11,1.8730415
50,1,9,1.85624206
50,1,8,1.76591685
51,1,5,1.99742875
51,1,3,1.87262699
51,1,8,1.86848854
51,1,11,1.71312361
51,1,4,1.56010325
51,1,7,1.48969703
51,1,6,1.45474232
51,1,2,1.41424331
51,1,10,1.3997107
51,1,9,1.39500221
52,2,15,2.64772585
52,2,9,2.54023191
52,3,8,2.50622326
52,1,6,2.29980533
52,2,16,2.29980533
52,1,12,2.22392915
52,1,10,1.98987083
52,2,3,1.67170021
52,3,5,1.4483804
52,2,2,1.20833435
54,2,1,5.0772395
54,2,5,5.07426206
54,4,20,4.98418181
54,3,13,4.64824658
54,1,16,4.64824658
54,2,11,4.435799
54,1,3,4.28103617
54,2,4,4.26279799
54,1,7,3.83902207
54,2,10,3.80324691
55,2,18,3.65474435
55,1,3,3.565505
55,2,21,3.36302964
55,1,15,2.98899476
55,2,12,2.89438736
55,1,22,2.80327561
55,3,20,2.75706653
55,2,16,2.67012913
55,2,14,2.43860937
55,1,19,2.42476602
56,2,8,2.1861999
56,2,3,2.17332468
56,1,4,1.90375725
56,1,7,1.78189278
56,1,10,1.58569293
56,2,6,1.28221413
56,1,9,1.25135559
56,1,5,1.23944243
56,3,2,1.10922086
56,1,1,0.96835081
57,1,4,3.52874975
57,1,12,2.76664451
57,2,5,2.65461127
57,2,14,2.5844517
57,2,11,2.56769776
57,2,6,2.48469961
57,2,3,2.47840409
57,2,2,2.18226959
57,1,10,1.96150868
57,2,1,1.91785444
58,2,5,4.2974445
58,1,14,4.05526069
58,2,9,4.05370523
58,2,12,4.01584248
58,1,16,3.98340503
58,2,17,3.74640954
58,2,4,3.73625367
58,2,13,3.69359994
58,2,15,3.41999905
58,2,6,3.2528484
60,1,5,5.38438254
60,2,14,4.89874912
60,2,2,4.87970214
60,1,8,4.54918742
60,2,1,4.52416998
60,1,10,3.79624368
60,1,16,3.34660517
60,1,9,3.30526862
60,1,7,3.23360568
60,2,3,3.22914845
61,2,3,4.69171114
61,4,11,4.62226244
61,3,4,4.5805817
61,2,10,4.38986425
61,3,9,4.04896014
61,2,6,3.96520491
61,3,1,3.96364382
61,2,12,3.59321249
61,2,2,3.32839223
61,2,7,3.12126119
63,2,3,5.22193746
63,2,11,5.15850379
63,2,5,5.08036918
63,2,10,5.01636344
63,2,9,4.92698982
63,4,7,4.56495423
63,2,6,4.34822611
63,2,4,4.14421208
63,2,12,3.70468041
63,1,8,3.34626261
64,1,8,4.45711807
64,1,1,4.45689759
64,2,3,4.43898907
64,1,4,4.39469763
64,1,13,4.11500738
64,1,14,4.01829508
64,2,7,3.66935876
64,1,5,3.65155397
64,1,9,3.6377001
64,2,10,3.58319836
65,1,19,4.59048367
65,1,4,4.19884493
65,1,9,4.1037419
65,1,20,3.72526773
65,2,10,3.69218655
65,1,13,3.62239803
65,1,6,3.40537868
65,2,11,3.2648492
65,1,3,3.20924778
65,2,14,3.20244855
66,2,5,4.19406379
66,2,2,4.00720192
66,1,11,3.97360472
66,3,1,3.9080597
66,2,6,3.6622985
66,3,4,3.48540396
66,2,9,3.43067139
66,2,3,3.35141867
66,2,10,3.33760267
66,1,7,3.0040067
70,1,8,3.37597589
70,2,5,2.87107688
70,1,4,2.59122273
70,1,7,2.46705521
70,2,1,2.2634128
70,1,2,2.22361993
70,1,3,2.04268136
70,2,9,1.98370617
70,2,10,1.9294979
70,1,6,1.86951493
71,1,13,3.4321075
71,1,15,3.17904942
71,4,14,3.14879532
71,2,19,3.11696294
71,2,11,2.88254292
71,2,8,2.80863244
71,2,17,2.76209724
71,2,10,2.74069605
71,2,21,2.59718455
71,2,24,2.57407203
72,2,9,3.36923855
72,2,4,3.34214081
72,2,2,3.10867335
72,3,3,3.02511779
72,2,12,2.78554387
72,2,10,2.69248452
72,3,13,1.9137114
72,3,14,1.8691751
72,1,1,1.82869158
72,2,7,1.62833188
73,2,3,3.12765425
73,4,12,2.62621758
73,1,11,2.58312453
73,3,15,2.50687837
73,1,19,2.49122111
73,1,2,2.39448328
73,4,14,2.37934236
73,1,5,2.18804195
73,1,13,2.11871433
73,3,8,2.08743808
74,4,7,5.03406182
74,2,3,4.94966138
74,3,5,4.93635151
74,3,9,4.48423527
74,3,1,4.34128066
74,2,4,4.18995969
74,3,2,3.22205689
74,3,10,3.13341642
74,2,8,2.79529871
74,1,6,2.4166466
75,2,10,2.92857427
75,2,7,2.85920386
75,1,11,2.81162895
75,1,1,2.67094657
75,4,3,2.57899997
75,1,9,2.42104969
75,1,8,2.26807679
75,1,6,2.21164194
75,2,4,2.1256882
75,2,13,2.07927648
80,1,11,2.7727638
80,2,15,2.57619043
80,1,7,1.93785145
80,2,14,1.9178606
80,1,13,1.81250395
80,1,6,1.75842084
80,1,4,1.7223466
80,1,9,1.66223771
80,2,10,1.60248414
80,2,8,1.57919738
84,4,2,4.81542426
84,4,10,4.20520239
84,2,8,3.08937039
84,2,9,2.53084921
84,2,7,2.49295846
84,1,6,2.23766271
84,2,14,2.18568858
84,4,3,2.03078727
84,3,11,1.97353588
84,1,12,1.91003684
85,2,13,3.72136517
85,1,15,3.60361859
85,2,10,3.30032619
85,2,2,3.08817182
85,1,8,3.04972377
85,2,11,2.99012096
85,2,6,2.87293913
85,1,7,2.59832359
85,1,1,2.42716972
85,2,12,2.42162872
86,2,9,5.3323122
86,2,8,4.69678022
86,3,3,4.64189838
86,2,10,4.31390752
86,2,11,3.58600515
86,2,12,3.55158207
86,2,15,3.54901258
86,2,14,3.52661482
86,2,2,3.46895686
86,3,5,3.35661401
88,1,12,5.02917704
88,2,7,4.68101256
88,2,1,3.95969795
88,1,4,3.53048097
88,2,10,3.33767262
88,2,3,3.14817196
88,2,14,3.06595195
88,1,13,2.87073581
88,1,8,2.83390704
88,1,11,2.62959654
90,1,5,2.34629653
90,1,9,1.54070412
90,2,12,1.40127817
90,1,13,1.38524982
90,1,1,1.35244474
90,2,3,1.29586011
90,2,7,1.13480421
90,2,15,1.10782409
90,2,14,1.01410826
90,1,8,0.94921285
91,3,7,2.72619503
91,3,4,2.72034646
91,3,16,2.55597193
91,3,13,2.43442395
91,1,2,2.2742415
91,1,23,2.24344848
91,2,11,2.24339446
91,2,19,2.23533287
91,2,21,2.18197974
91,3,3,2.03980419
93,2,11,3.47785771
93,2,4,2.83793672
93,1,7,2.76455274
93,1,5,2.74043615
93,1,1,2.73965196
93,1,8,2.7163904
93,1,9,2.53321309
93,1,3,2.30008446
93,1,2,2.1292271
93,1,6,1.68175046
96,1,1,4.5234376
96,1,9,4.51234447
96,1,4,4.215862
96,1,3,4.06944454
96,2,5,3.84660135
96,2,8,3.39538109
96,2,10,2.77384213
96,2,2,2.56577257
96,2,11,2.4437914
96,2,6,1.96579393
97,1,2,2.6530502
97,2,6,2.48874295
97,1,4,2.38813502
97,1,7,2.35571839
97,2,10,2.13910463
97,1,3,1.90116331
97,1,8,1.64587815
97,1,12,1.57117572
97,2,1,1.42057909
97,1,9,1.33609809
99,2,6,3.15600446
99,2,1,2.79518484
99,2,8,2.73424417
99,2,4,2.67254102
99,1,14,2.51836522
99,2,13,2.45222569
99,1,3,2.28516359
99,1,5,2.16605985
99,2,2,2.13683072
99,2,12,2.0534898
101,4,16,3.54211216
101,1,15,3.07916704
101,2,1,3.05954681
101,2,17,3.00858738
101,2,4,2.8303602
101,3,3,2.73468143
101,2,9,2.64995995
101,2,10,2.39338082
101,2,12,2.09702438
101,1,5,1.80753408
102,1,8,3.329143
102,1,2,2.74759306
102,1,10,2.4160749
102,1,7,2.37781036
102,2,9,2.05916328
102,1,5,2.04015706
102,1,3,2.03979112
102,1,11,2.00522495
102,1,4,1.29707693
102,1,6,1.29239455
103,1,12,3.53767779
103,1,7,2.79007582
103,1,9,2.73596404
103,1,1,2.34805466
103,1,4,2.15315885
103,1,8,1.70130577
103,1,6,1.65807169
103,1,13,1.62003515
103,1,5,1.48189518
103,2,10,1.41790303
104,1,10,3.41069331
104,2,11,3.23315303
104,2,3,2.98479294
104,1,1,2.957703
104,2,5,2.9261388
104,1,4,2.3188744
104,1,8,2.18136992
104,1,6,1.62341533
104,1,9,1.49458204
104,1,7,1.29367515
105,2,1,3.10731878
105,1,4,3.09678991
105,1,9,2.9492353
105,3,3,2.79493311
105,1,7,2.69186779
105,2,5,2.54016408
105,1,8,2.33382209
105,2,2,2.28680575
105,1,14,2.2719407
105,1,13,2.13920346
107,2,8,3.11100221
107,2,7,3.10499353
107,2,13,2.84640143
107,2,12,2.4475398
107,2,5,2.20172305
107,2,4,2.16195499
107,1,9,2.10411229
107,2,11,1.94709452
107,3,2,1.87867776
107,2,1,1.7912557
109,1,14,4.52953765
109,1,7,4.2705361
109,2,9,3.98342239
109,3,12,3.89385149
109,3,13,3.79095476
109,2,1,3.45221482
109,3,6,2.91305489
109,1,2,2.82865024
109,2,11,2.79186776
109,2,10,2.37053187
110,4,10,2.93796133
110,3,14,2.92688331
110,3,13,2.9164044
110,1,4,2.90932417
110,2,2,2.68029386
110,2,1,2.58947963
110,1,3,2.55492617
110,2,9,2.49874308
110,2,11,2.46174747
110,2,5,2.25612905
111,1,7,1.22221627
111,1,1,1.03999724
111,1,8,0.86036147
111,1,4,0.81560347
111,1,5,0.8142903
111,2,6,0.66242096
111,1,12,0.60132115
111,1,11,0.26197782
111,2,3,0.05768445
111,1,9,-0.14401375
112,2,4,3.44329818
112,2,13,3.43884282
112,3,3,3.04331865
112,2,12,2.94363214
112,4,5,2.82043852
112,3,6,2.75262075
112,1,16,2.64618318
112,3,10,2.57034351
112,3,1,2.56839611
112,4,9,2.50624208
113,3,1,3.35269557
113,2,6,3.33919355
113,4,4,3.29296694
113,3,3,3.24007006
113,1,11,2.94153319
113,3,7,2.76000228
113,2,5,2.56862933
113,2,8,2.50014641
113,3,10,2.38744522
113,1,2,1.97980873
114,2,6,2.45555476
114,1,15,2.18528903
114,2,19,2.03499865
114,2,9,1.86809194
114,1,18,1.84154298
114,1,4,1.61278887
114,2,13,1.59846656
114,2,16,1.56810016
114,2,14,1.4794443
114,2,8,1.43759288
115,1,11,4.43923714
115,4,12,3.82504301
115,2,7,3.33665922
115,3,1,3.335501
115,3,6,3.31673301
115,2,3,3.25906755
115,2,2,2.97935943
115,2,10,2.69255165
115,2,8,2.67946073
115,2,16,2.62173738
118,2,3,3.25427296
118,1,23,3.05523213
118,1,11,2.88406182
118,3,10,2.65938803
118,3,8,2.65720209
118,2,9,2.32083576
118,3,12,2.2300348
118,2,14,2.08160922
118,2,5,1.88157404
118,1,17,1.82386584
119,1,8,4.96572119
119,1,1,4.02413789
119,1,2,3.98479201
119,1,10,3.79724949
119,1,11,3.74593784
119,1,6,3.50975706
119,1,7,3.47221504
119,1,3,3.39629029
119,1,4,2.96133526
119,1,5,2.03186249
120,4,14,3.01937188
120,2,7,2.99351247
120,3,6,2.87683785
120,3,10,2.63277289
120,3,8,2.48387606
120,1,2,2.45164183
120,3,4,2.15031854
120,2,13,1.95803107
120,1,12,1.84651999
120,2,3,1.3899323
122,2,2,4.04456891
122,1,1,4.01308396
122,1,9,3.98525157
122,3,3,3.91370589
122,1,10,3.70934773
122,2,5,3.43128877
122,2,6,1.89540985
122,1,7,1.73649527
122,1,4,1.32843023
122,1,8,1.23528661
124,2,13,3.80092429
124,1,3,3.7689895
124,3,11,3.66386882
124,2,10,3.0593448
124,1,9,2.90114969
124,3,4,2.80920922
124,1,12,2.78387343
124,2,8,2.55703342
124,3,14,2.47421633
124,1,6,2.29037239
125,3,2,4.87063033
125,2,1,4.78799897
125,4,3,4.531417
125,2,5,4.0327757
125,3,11,3.77200979
125,2,7,3.56086282
125,2,10,3.17426722
125,2,4,2.97458807
125,2,6,2.55231871
125,1,9,1.92891658
126,4,12,3.30838148
126,2,7,2.83236569
126,2,9,2.26385626
126,1,5,2.23733627
126,1,8,2.01290783
126,1,3,2.01279432
126,2,4,1.75732183
126,1,1,1.34608645
126,1,2,1.23455804
126,2,6,0.95022062
127,2,6,4.57667864
127,1,11,4.08399876
127,1,13,3.96361921
127,2,14,3.95591405
127,2,9,3.93104169
127,2,17,3.57472967
127,1,1,3.37514206
127,1,20,3.21656501
127,1,18,3.05923432
127,2,19,3.05143836
128,2,13,5.15593166
128,4,14,4.44562305
128,3,15,4.32195712
128,1,2,4.03962051
128,1,7,3.90746279
128,1,12,3.79729811
128,1,10,3.77387727
128,1,3,3.71047704
128,1,11,3.59287365
128,1,8,3.31506766
130,1,8,3.27074554
130,2,10,2.812059
130,1,14,2.78043763
130,2,7,2.62667986
130,4,18,2.51861424
130,1,3,2.4957999
130,1,19,2.26222698
130,1,2,2.24959508
130,1,9,2.22683479
130,2,17,2.13506639
131,1,6,4.74475315
131,3,12,4.53792861
131,1,5,4.15247564
131,2,9,4.11912793
131,2,4,4.0529794
131,1,11,3.67949843
131,2,13,3.60868283
131,3,15,3.58426872
131,2,7,3.518414
131,3,3,3.41893517
133,2,12,4.61876503
133,3,17,4.54813349
133,1,14,4.33836978
133,2,4,4.33682015
133,2,16,4.30037483
133,2,9,4.19353614
133,3,1,4.12651497
133,3,10,3.95782031
133,2,11,3.83749114
133,2,3,3.72834995
135,2,5,3.66196354
135,2,3,2.99206579
135,1,9,2.49795638
135,1,7,2.41340105
135,1,10,2.21024815
135,1,4,2.07204415
135,2,6,2.06429503
135,1,2,2.0206593
135,1,8,2.01362927
135,1,11,1.92636935
136,1,8,2.52187357
136,1,10,2.38426564
136,1,5,2.14658221
136,1,7,2.00885675
136,2,6,1.98646728
136,2,1,1.69493136
136,2,3,1.35037604
136,1,4,1.05706659
136,1,2,1.0522539
136,1,9,0.83748581
138,3,2,3.33550647
138,2,9,3.2008674
138,1,6,2.98229037
138,2,8,2.96778921
138,2,5,2.51914895
138,2,4,2.4825104
138,1,10,2.3282283
138,2,1,2.21457369
138,1,11,2.20856632
138,1,13,2.16443313
139,4,13,4.97404868
139,1,4,4.4305844
139,3,2,4.07467372
139,2,11,3.93498992
139,3,5,3.82431007
139,2,3,3.6542668
139,1,12,3.56726884
139,2,6,3.45485357
139,1,7,3.00921839
139,2,14,2.92231893
140,1,1,3.47181281
140,3,8,3.20985022
140,1,7,2.81806393
140,2,2,2.69612938
140,2,4,2.69396793
140,1,9,2.65071329
140,2,5,2.20852234
140,1,6,2.20337792
140,2,10,1.94283259
140,1,3,1.8949732
141,2,12,4.84950456
141,2,4,4.23347132
141,2,2,4.16606922
141,1,7,3.91725021
141,2,6,3.78750417
141,1,1,3.77712993
141,2,13,3.65869006
141,1,11,3.55719618
141,2,8,3.28888662
141,1,14,3.12744112
142,2,12,4.69753756
142,1,17,4.09975204
142,2,6,3.68726423
142,2,4,3.47949567
142,2,1,3.29368222
142,1,8,3.26070666
142,1,14,3.13020153
142,2,2,3.10102866
142,2,13,3.07686541
142,2,10,2.96860268
144,1,2,2.76185643
144,3,16,2.5834879
144,2,14,2.28224058
144,1,15,2.26683789
144,1,13,2.18066963
144,2,18,2.13860228
144,1,8,2.11772675
144,2,12,2.0798671
144,2,6,1.76674988
144,2,19,1.60316052
146,2,3,5.04033975
146,1,14,3.97019312
146,1,8,3.84828639
146,2,9,3.72886406
146,1,6,3.61481937
146,1,5,3.50500863
146,1,11,3.26283242
146,2,13,3.14153018
146,1,2,3.01301604
146,1,17,2.91822556
147,2,1,2.95668051
147,2,6,2.81130658
147,1,8,2.74178245
147,2,9,2.73716591
147,2,12,2.63982012
147,1,14,2.59158558
147,2,13,2.57059275
147,1,2,2.36457125
147,1,4,2.35642567
147,2,11,2.2310275
148,2,12,5.30464055
148,1,1,4.8557336
148,1,2,4.71169575
148,2,8,4.46486895
148,2,4,4.00705671
148,1,10,3.86460478
148,3,5,3.70578633
148,3,9,3.60082822
148,3,11,3.19240945
148,2,14,3.16242897
150,2,9,4.58189578
150,2,7,4.30509372
150,1,8,3.88645916
150,3,6,3.88019231
150,4,11,3.87032607
150,1,3,3.67031047
150,2,5,3.28460806
150,2,13,3.03496768
150,3,4,2.9502571
150,1,12,2.90616858
151,1,10,3.77714208
151,1,1,3.13553589
151,1,9,2.36993262
151,2,3,2.29297225
151,2,7,2.28964454
151,1,8,2.14614869
151,1,4,2.08907005
151,2,6,1.68448166
151,2,5,1.30249512
151,1,2,0.98854915
152,4,12,3.6875955
152,4,9,3.12476737
152,4,1,3.11086562
152,1,7,2.84964867
152,2,3,2.84226563
152,1,4,2.84226563
152,1,5,2.71139451
152,1,10,2.66524457
152,1,2,2.46810992
152,1,6,2.44847664
153,4,10,4.5951207
153,1,8,3.65807424
153,1,4,3.51826003
153,2,14,3.29539906
153,1,9,3.28320097
153,1,13,3.23562433
153,1,5,2.78376492
153,2,15,2.61679778
153,1,2,2.54348824
153,4,12,2.49123714
154,1,4,2.79466484
154,2,16,2.49637054
154,1,12,2.48364321
154,2,7,2.37476049
154,2,14,2.26706518
154,2,13,2.08060902
154,2,6,1.92794249
154,1,11,1.77658742
154,1,17,1.7680405
154,1,1,1.75348582
156,1,3,3.93567044
156,1,13,3.4211455
156,2,11,2.96930437
156,1,8,2.6887236
156,2,12,2.46480811
156,2,4,2.2662834
156,1,6,2.25235703
156,1,5,2.24509693
156,1,1,2.19982882
156,1,2,2.03113188
157,1,14,4.13834518
157,4,8,3.70155102
157,2,9,3.55687405
157,1,15,3.54314787
157,1,13,3.51592112
157,3,7,3.13374064
157,4,2,2.95933969
157,1,4,2.87984649
157,1,10,2.8757416
157,1,11,2.71351008
158,1,1,2.34900636
158,1,5,2.16500865
158,3,6,1.87098499
158,1,8,1.77160178
158,4,10,1.69545759
158,1,4,1.41218585
158,2,9,1.35971529
158,1,2,1.25932184
158,1,7,1.1710601
158,4,11,1.07203854
159,4,1,4.63076906
159,2,9,4.53612311
159,4,8,4.36363225
159,1,4,3.82589261
159,1,3,3.02222223
159,1,6,2.73265672
159,2,5,2.46512147
159,1,10,2.2965483
159,1,7,2.00668549
159,2,2,1.86522676
160,4,2,4.78235011
160,3,6,4.71644729
160,2,3,4.55613868
160,2,4,4.50013127
160,2,10,4.24226916
160,1,9,4.08718872
160,2,1,3.80317355
160,2,7,3.64420558
160,2,8,3.62756389
160,2,5,3.50704533
161,3,10,4.47958593
161,2,16,4.47958593
161,2,11,3.80636854
161,3,9,3.60355212
161,2,8,3.4238267
161,3,5,3.3961136
161,2,7,3.37467708
161,2,12,3.23447581
161,1,3,3.20768505
161,1,2,2.84510086
162,4,13,3.14673333
162,1,8,2.8735894
162,3,7,2.77547524
162,3,19,2.57027198
162,3,12,2.54730348
162,2,10,2.41874132
162,2,1,2.23160267
162,1,15,2.20352069
162,1,5,2.15891179
162,2,18,2.14515762
163,1,4,3.5884499
163,1,8,3.56623293
163,1,7,2.68124066
163,2,12,2.67037546
163,2,10,2.63973918
163,2,11,2.33030105
163,1,1,2.10519934
163,1,6,2.05905082
163,2,16,2.00391965
163,1,15,1.85184553
165,2,7,5.43747601
165,2,15,4.94507853
165,2,17,4.26433132
165,3,11,3.85999282
165,2,12,3.46222008
165,2,6,3.32699061
165,2,5,3.23344634
165,2,9,3.17805001
165,2,18,3.10600495
165,1,16,3.04777047
168,3,11,5.62261415
168,4,3,5.20462694
168,3,13,5.12512563
168,3,12,4.97367816
168,3,5,4.88911588
168,4,4,4.71664568
168,3,1,4.4240888
168,1,10,4.41776581
168,4,6,4.1803507
168,3,14,4.12874983
170,2,6,4.45754009
170,2,7,3.35283966
170,2,3,2.9355065
170,2,2,2.87581878
170,1,4,2.6434037
170,2,10,2.64249451
170,2,11,2.52482536
170,2,1,2.41752298
170,2,8,2.34328027
170,2,15,2.25902437
171,3,11,4.3320602
171,4,10,4.27993602
171,2,7,4.23182268
171,3,4,4.17144966
171,1,12,3.86484337
171,2,5,3.81639672
171,1,1,3.42093223
171,1,3,3.23816061
171,2,13,2.97051756
171,2,2,2.87979272
172,2,15,3.32856659
172,2,5,2.56437504
172,2,12,2.52516698
172,2,11,2.50178238
172,3,8,2.46288076
172,2,9,2.44004142
172,1,2,2.36464691
172,2,6,2.12314816
172,2,13,2.0855134
172,2,4,2.04414539
175,3,7,5.42762833
175,3,8,5.09491089
175,3,9,4.84872952
175,2,12,4.05369763
175,2,4,3.92356349
175,3,3,3.64689632
175,1,6,3.51570844
175,2,5,3.05633147
175,1,11,2.95265781
175,3,2,2.80910725
176,2,16,5.32109909
176,3,15,4.62195067
176,1,5,4.03779645
176,2,10,3.82977794
176,1,2,3.71706867
176,2,4,3.71229301
176,2,1,3.63232911
176,2,6,3.61711979
176,2,8,3.61673171
176,1,18,3.51123863
177,2,1,5.27890529
177,2,11,4.94954997
177,3,2,4.7039765
177,2,10,4.2827853
