query_id,doc_1,click_prob_1,relevance_score_1,doc_2,click_prob_2,relevance_score_2,doc_3,click_prob_3,relevance_score_3,doc_4,click_prob_4,relevance_score_4,doc_5,click_prob_5,relevance_score_5,doc_6,click_prob_6,relevance_score_6,doc_7,click_prob_7,relevance_score_7,doc_8,click_prob_8,relevance_score_8,doc_9,click_prob_9,relevance_score_9,doc_10,click_prob_10,relevance_score_10
113,1.0,0,3,6.0,1,2,4.0,0,4,3.0,0,3,11.0,0,1,7.0,0,3,5.0,0,2,8.0,0,2,10.0,0,3,2.0,0,1
114,6.0,0,2,15.0,0,1,19.0,0,2,9.0,0,2,18.0,0,1,4.0,1,1,13.0,0,2,16.0,0,2,14.0,0,2,8.0,0,2
115,11.0,0,1,12.0,1,4,7.0,0,2,1.0,0,3,6.0,0,3,3.0,0,2,2.0,0,2,10.0,0,2,8.0,0,2,16.0,0,2
118,3.0,0,2,23.0,0,1,11.0,0,1,10.0,0,3,8.0,0,3,9.0,0,2,12.0,0,3,14.0,0,2,5.0,0,2,17.0,0,1
119,8.0,0,1,1.0,0,1,2.0,0,1,10.0,0,1,11.0,0,1,6.0,0,1,7.0,0,1,3.0,0,1,4.0,0,1,5.0,0,1
120,14.0,1,4,7.0,0,2,6.0,0,3,10.0,0,3,8.0,0,3,2.0,0,1,4.0,0,3,13.0,0,2,12.0,0,1,3.0,0,2
122,2.0,1,2,1.0,0,1,9.0,0,1,3.0,0,3,10.0,0,1,5.0,0,2,6.0,0,2,7.0,0,1,4.0,0,1,8.0,0,1
124,13.0,1,2,3.0,0,1,11.0,0,3,10.0,0,2,9.0,0,1,4.0,0,3,12.0,0,1,8.0,0,2,14.0,0,3,6.0,0,1
125,2.0,0,3,1.0,0,2,3.0,1,4,5.0,0,2,11.0,0,3,7.0,0,2,10.0,0,2,4.0,0,2,6.0,0,2,9.0,0,1
126,12.0,0,4,7.0,1,2,9.0,0,2,5.0,0,1,8.0,0,1,3.0,0,1,4.0,0,2,1.0,0,1,2.0,0,1,6.0,0,2
127,6.0,0,2,11.0,0,1,13.0,0,1,14.0,0,2,9.0,0,2,17.0,0,2,1.0,0,1,20.0,0,1,18.0,0,1,19.0,0,2
128,13.0,0,2,14.0,1,4,15.0,0,3,2.0,0,1,7.0,0,1,12.0,0,1,10.0,0,1,3.0,0,1,11.0,0,1,8.0,0,1
130,8.0,0,1,10.0,0,2,14.0,0,1,7.0,0,2,18.0,0,4,3.0,0,1,19.0,0,1,2.0,0,1,9.0,0,1,17.0,0,2
131,6.0,0,1,12.0,0,3,5.0,0,1,9.0,0,2,4.0,0,2,11.0,0,1,13.0,0,2,15.0,0,3,7.0,0,2,3.0,0,3
133,12.0,0,2,17.0,0,3,14.0,0,1,4.0,0,2,16.0,1,2,9.0,0,2,1.0,0,3,10.0,0,3,11.0,0,2,3.0,0,2
135,5.0,0,2,3.0,1,2,9.0,0,1,7.0,0,1,10.0,0,1,4.0,0,1,6.0,0,2,2.0,0,1,8.0,0,1,11.0,0,1
136,8.0,0,1,10.0,0,1,5.0,0,1,7.0,0,1,6.0,0,2,1.0,1,2,3.0,0,2,4.0,0,1,2.0,0,1,9.0,0,1
138,2.0,1,3,9.0,0,2,6.0,0,1,8.0,0,2,5.0,0,2,4.0,0,2,10.0,0,1,1.0,0,2,11.0,0,1,13.0,0,1
139,13.0,0,4,4.0,0,1,2.0,0,3,11.0,0,2,5.0,0,3,3.0,0,2,12.0,0,1,6.0,0,2,7.0,0,1,14.0,0,2
140,1.0,0,1,8.0,1,3,7.0,0,1,2.0,0,2,4.0,0,2,9.0,0,1,5.0,0,2,6.0,0,1,10.0,0,2,3.0,0,1
141,12.0,1,2,4.0,0,2,2.0,0,2,7.0,0,1,6.0,0,2,1.0,0,1,13.0,0,2,11.0,0,1,8.0,0,2,14.0,0,1
142,12.0,0,2,17.0,0,1,6.0,0,2,4.0,0,2,1.0,0,2,8.0,0,1,14.0,0,1,2.0,0,2,13.0,0,2,10.0,0,2
144,2.0,0,1,16.0,1,3,14.0,0,2,15.0,0,1,13.0,0,1,18.0,0,2,8.0,0,1,12.0,0,2,6.0,0,2,19.0,0,2
146,3.0,1,2,14.0,0,1,8.0,0,1,9.0,0,2,6.0,0,1,5.0,0,1,11.0,0,1,13.0,0,2,2.0,0,1,17.0,0,1
147,1.0,0,2,6.0,0,2,8.0,0,1,9.0,0,2,12.0,0,2,14.0,0,1,13.0,0,2,2.0,0,1,4.0,0,1,11.0,0,2
148,12.0,0,2,1.0,0,1,2.0,0,1,8.0,0,2,4.0,0,2,10.0,0,1,5.0,0,3,9.0,0,3,11.0,0,3,14.0,0,2
150,9.0,0,2,7.0,0,2,8.0,0,1,6.0,0,3,11.0,0,4,3.0,0,1,5.0,0,2,13.0,0,2,4.0,0,3,12.0,0,1
151,10.0,0,1,1.0,0,1,9.0,0,1,3.0,0,2,7.0,0,2,8.0,0,1,4.0,0,1,6.0,0,2,5.0,0,2,2.0,0,1
152,12.0,0,4,9.0,1,4,1.0,0,4,7.0,0,1,3.0,0,2,4.0,0,1,5.0,0,1,10.0,0,1,2.0,0,1,6.0,0,1
153,10.0,0,4,8.0,0,1,4.0,0,1,14.0,0,2,9.0,0,1,13.0,0,1,5.0,0,1,15.0,1,2,2.0,0,1,12.0,0,4
154,4.0,0,1,16.0,0,2,12.0,0,1,7.0,1,2,14.0,0,2,13.0,0,2,6.0,0,2,11.0,0,1,17.0,0,1,1.0,0,1
156,3.0,1,1,13.0,0,1,11.0,0,2,8.0,0,1,12.0,0,2,4.0,0,2,6.0,0,1,5.0,0,1,1.0,0,1,2.0,0,1
157,14.0,0,1,8.0,1,4,9.0,0,2,15.0,0,1,13.0,0,1,7.0,0,3,2.0,0,4,4.0,0,1,10.0,0,1,11.0,0,1
158,1.0,0,1,5.0,0,1,6.0,0,3,8.0,0,1,10.0,0,4,4.0,0,1,9.0,0,2,2.0,0,1,7.0,0,1,11.0,0,4
159,1.0,1,4,9.0,0,2,8.0,0,4,4.0,0,1,3.0,0,1,6.0,0,1,5.0,0,2,10.0,0,1,7.0,0,1,2.0,0,2
160,2.0,1,4,6.0,0,3,3.0,0,2,4.0,0,2,10.0,0,2,9.0,0,1,1.0,0,2,7.0,0,2,8.0,0,2,5.0,0,2
161,10.0,1,3,16.0,0,2,11.0,0,2,9.0,0,3,8.0,0,2,5.0,0,3,7.0,0,2,12.0,0,2,3.0,0,1,2.0,0,1
162,13.0,1,4,8.0,0,1,7.0,0,3,19.0,0,3,12.0,0,3,10.0,0,2,1.0,0,2,15.0,0,1,5.0,0,1,18.0,0,2
163,4.0,1,1,8.0,0,1,7.0,0,1,12.0,0,2,10.0,0,2,11.0,0,2,1.0,0,1,6.0,0,1,16.0,0,2,15.0,0,1
165,7.0,0,2,15.0,0,2,17.0,0,2,11.0,1,3,12.0,0,2,6.0,0,2,5.0,0,2,9.0,0,2,18.0,0,2,16.0,0,1
168,11.0,1,3,3.0,0,4,13.0,0,3,12.0,0,3,5.0,0,3,4.0,0,4,1.0,0,3,10.0,0,1,6.0,0,4,14.0,0,3
170,6.0,0,2,7.0,0,2,3.0,1,2,2.0,0,2,4.0,0,1,10.0,0,2,11.0,0,2,1.0,0,2,8.0,0,2,15.0,0,2
171,11.0,1,3,10.0,0,4,7.0,0,2,4.0,0,3,12.0,0,1,5.0,0,2,1.0,0,1,3.0,0,1,13.0,0,2,2.0,0,2
172,15.0,0,2,5.0,0,2,12.0,1,2,11.0,0,2,8.0,0,3,9.0,0,2,2.0,0,1,6.0,0,2,13.0,0,2,4.0,0,2
175,7.0,1,3,8.0,0,3,9.0,0,3,12.0,0,2,4.0,0,2,3.0,0,3,6.0,0,1,5.0,0,2,11.0,0,1,2.0,0,3
176,16.0,0,2,15.0,1,3,5.0,0,1,10.0,0,2,2.0,0,1,4.0,0,2,1.0,0,2,6.0,0,2,8.0,0,2,18.0,0,1
177,1.0,0,2,11.0,1,2,2.0,0,3,10.0,0,2,12.0,0,2,13.0,0,1,9.0,0,2,4.0,0,2,8.0,0,2,6.0,0,3
178,16.0,0,1,7.0,0,1,1.0,0,1,5.0,0,1,9.0,1,1,8.0,0,1,13.0,0,1,6.0,0,1,10.0,0,1,18.0,0,1
179,7.0,0,2,3.0,1,4,1.0,0,2,12.0,0,3,11.0,0,2,8.0,0,1,5.0,0,1,4.0,0,1,18.0,0,1,19.0,0,1
180,12.0,0,1,5.0,0,2,10.0,0,2,9.0,0,1,2.0,0,2,8.0,0,1,3.0,0,2,11.0,0,2,1.0,0,1,6.0,0,1
183,15.0,0,2,9.0,0,3,1.0,0,2,16.0,0,1,8.0,1,2,5.0,0,1,10.0,0,2,12.0,0,2,14.0,0,1,2.0,0,1
184,12.0,0,2,14.0,1,2,5.0,0,2,8.0,0,1,3.0,0,2,6.0,0,2,15.0,0,1,16.0,0,2,2.0,0,1,13.0,0,2
187,1.0,1,2,11.0,0,2,9.0,0,2,7.0,0,2,6.0,0,1,8.0,0,1,3.0,0,2,2.0,0,3,10.0,0,1,5.0,0,1
188,7.0,0,2,5.0,0,2,8.0,0,2,6.0,0,2,1.0,0,3,4.0,0,2,10.0,0,2,3.0,0,1,2.0,0,2,9.0,0,1
189,1.0,0,1,4.0,0,2,14.0,1,2,3.0,0,2,7.0,0,2,13.0,0,1,2.0,0,2,9.0,0,2,12.0,0,1,11.0,0,2
190,2.0,0,1,10.0,0,3,6.0,0,2,8.0,0,2,9.0,0,2,4.0,0,2,12.0,0,2,1.0,0,2,7.0,0,2,11.0,0,4
192,5.0,1,2,12.0,0,2,3.0,0,2,10.0,0,2,6.0,0,2,13.0,0,2,15.0,0,2,16.0,0,2,2.0,0,2,4.0,0,1
196,11.0,1,4,9.0,0,3,8.0,0,4,5.0,0,3,10.0,0,4,1.0,0,1,3.0,0,2,7.0,0,3,6.0,0,3,2.0,0,1
197,1.0,1,2,14.0,0,3,16.0,0,2,4.0,0,2,13.0,0,2,15.0,0,3,6.0,0,3,12.0,0,1,5.0,0,2,11.0,0,3
198,5.0,1,2,7.0,0,2,1.0,0,2,9.0,0,2,8.0,0,2,6.0,0,2,10.0,0,2,11.0,0,1,3.0,0,1,2.0,0,1
199,19.0,0,1,20.0,0,1,12.0,0,1,18.0,0,3,1.0,0,1,7.0,0,1,13.0,0,1,9.0,1,1,8.0,0,1,3.0,0,2
200,4.0,0,2,7.0,0,1,10.0,1,2,5.0,0,2,2.0,0,2,1.0,0,2,11.0,0,1,8.0,0,1,6.0,0,1,9.0,0,1
202,2.0,0,3,3.0,1,2,4.0,0,2,1.0,0,2,6.0,0,2,9.0,0,2,5.0,0,1,7.0,0,2,8.0,0,1,10.0,0,1
203,4.0,0,1,7.0,1,1,12.0,0,1,10.0,0,2,11.0,0,2,1.0,0,1,2.0,0,1,9.0,0,1,8.0,0,2,5.0,0,2
204,16.0,0,3,6.0,0,2,15.0,1,1,7.0,0,4,14.0,0,1,12.0,0,2,2.0,0,2,4.0,0,2,18.0,0,2,8.0,0,3
205,8.0,1,2,3.0,0,1,7.0,0,3,9.0,0,3,6.0,0,1,4.0,0,2,5.0,0,2,1.0,0,1,10.0,0,2,2.0,0,1
206,5.0,0,1,4.0,0,3,3.0,0,2,6.0,0,1,11.0,0,1,9.0,0,1,10.0,0,2,1.0,0,1,2.0,0,1,7.0,0,1
207,6.0,0,2,13.0,1,2,5.0,0,2,4.0,0,2,3.0,0,1,7.0,0,2,8.0,0,3,10.0,0,2,9.0,0,2,2.0,0,2
208,1.0,0,1,2.0,0,1,12.0,0,1,7.0,0,1,4.0,0,2,14.0,0,1,9.0,0,1,5.0,0,1,10.0,0,1,8.0,0,1
209,12.0,1,4,9.0,0,2,15.0,0,2,5.0,0,1,6.0,0,1,22.0,0,2,1.0,0,1,10.0,0,2,20.0,0,2,2.0,0,2
210,11.0,1,2,8.0,0,1,15.0,0,2,7.0,0,2,2.0,0,2,12.0,0,2,17.0,0,2,5.0,0,2,4.0,0,2,13.0,0,2
212,5.0,0,2,6.0,0,3,1.0,0,1,10.0,0,1,8.0,0,2,4.0,0,1,7.0,0,1,3.0,0,1,11.0,0,2,2.0,0,1
213,3.0,1,2,7.0,0,2,2.0,0,2,11.0,0,3,5.0,0,2,4.0,0,2,9.0,0,2,1.0,0,2,8.0,0,1,10.0,0,2
215,11.0,1,3,12.0,0,2,9.0,0,1,2.0,0,2,6.0,0,2,7.0,0,2,5.0,0,2,4.0,0,2,1.0,0,2,3.0,0,2
216,8.0,0,1,15.0,0,1,6.0,0,2,14.0,0,1,4.0,0,1,1.0,1,2,9.0,0,1,10.0,0,1,2.0,0,1,12.0,0,1
217,11.0,0,1,9.0,0,2,10.0,0,2,16.0,1,2,2.0,0,2,12.0,0,1,8.0,0,3,7.0,0,3,13.0,0,1,6.0,0,1
219,2.0,0,1,3.0,0,1,1.0,0,1,6.0,0,1,10.0,0,1,5.0,0,1,7.0,0,2,9.0,0,1,8.0,0,1,4.0,0,1
220,5.0,0,1,1.0,0,2,7.0,0,1,10.0,0,2,4.0,0,2,2.0,0,2,11.0,0,2,9.0,0,2,8.0,0,2,3.0,0,2
221,1.0,0,1,6.0,0,1,9.0,0,1,14.0,0,1,3.0,1,2,5.0,0,1,7.0,0,1,15.0,0,1,4.0,0,1,16.0,0,1
223,6.0,1,2,8.0,0,2,11.0,0,2,10.0,0,2,14.0,0,2,5.0,0,2,12.0,0,2,4.0,0,2,2.0,0,2,3.0,0,2
225,6.0,0,2,14.0,0,2,7.0,1,1,10.0,0,1,8.0,0,2,4.0,0,1,1.0,0,2,5.0,0,2,12.0,0,2,11.0,0,1
227,3.0,0,1,1.0,1,2,9.0,0,2,2.0,0,1,5.0,0,2,8.0,0,2,4.0,0,2,10.0,0,3,7.0,0,1,6.0,0,1
228,16.0,0,3,14.0,0,1,2.0,1,3,13.0,0,2,11.0,0,2,7.0,0,2,5.0,0,2,6.0,0,2,1.0,0,3,15.0,0,2
229,13.0,0,2,6.0,1,1,10.0,0,1,7.0,0,2,2.0,0,1,4.0,0,1,8.0,0,1,3.0,0,2,11.0,0,2,9.0,0,1
230,18.0,0,2,20.0,1,2,2.0,0,1,12.0,0,2,5.0,0,2,4.0,0,2,15.0,0,2,13.0,0,2,17.0,0,2,3.0,0,2
231,12.0,0,2,17.0,0,3,18.0,0,2,4.0,1,3,14.0,0,2,5.0,0,1,3.0,0,1,20.0,0,2,8.0,0,2,23.0,0,2
234,1.0,0,1,11.0,0,1,6.0,0,2,16.0,1,4,10.0,0,4,3.0,0,2,9.0,0,2,15.0,0,2,12.0,0,2,8.0,0,2
235,16.0,0,2,9.0,0,1,18.0,0,3,4.0,1,1,19.0,0,1,12.0,0,3,7.0,0,1,1.0,0,1,10.0,0,1,13.0,0,3
236,3.0,0,2,7.0,1,2,9.0,0,3,11.0,0,2,15.0,0,2,12.0,0,2,10.0,0,1,6.0,0,2,2.0,0,2,1.0,0,2
238,7.0,0,2,5.0,0,1,2.0,0,4,6.0,0,2,11.0,0,1,10.0,0,2,9.0,0,1,3.0,0,2,12.0,0,3,4.0,0,4
239,7.0,0,2,9.0,1,2,10.0,0,2,1.0,0,4,8.0,0,2,4.0,0,1,2.0,0,2,5.0,0,2,6.0,0,2,3.0,0,1
241,7.0,0,2,8.0,1,2,13.0,0,3,9.0,0,3,16.0,0,2,11.0,0,1,14.0,0,2,3.0,0,2,5.0,0,2,2.0,0,1
245,12.0,0,2,7.0,0,3,2.0,0,4,5.0,0,3,11.0,0,1,9.0,0,1,8.0,0,1,4.0,0,3,1.0,0,3,10.0,0,2
247,7.0,1,2,9.0,0,2,3.0,0,2,4.0,0,1,6.0,0,2,10.0,0,2,8.0,0,2,1.0,0,1,5.0,0,2,2.0,0,2
248,7.0,0,1,4.0,1,3,6.0,0,2,9.0,0,2,1.0,0,3,11.0,0,2,10.0,0,2,3.0,0,3,5.0,0,2,8.0,0,2
